id,office_name,office_level
50900300305,Kalugamuwa Maha Vidyalaya,Level 5
50900300306,Gallehera Maha Vidyalaya,Level 5
50900300307,Denagamuwa Maha Vidyalaya,Level 5
50900300308,"Sri Saranankara Sangaraja Maha Vidyalaya, Mahapitiya",Level 5
50900300309,"Sri Piyarathana Maha Vidyalaya, Mudunna",Level 5
50900300310,Rathmalgoda Maha Vidyalaya,Level 5
50900300311,"Wimalasurendra Vidyalaya, Wadakada",Level 5
50900300312,Polgahawela St. Bernadettes Maha Vidyalaya,Level 5
50900300313,"Siri Perakum Vidyalaya, Udugama",Level 5
50900300314,Handugala Primary School,Level 5
50900300315,"Sri Sonuththara Primary School, Ahugoda",Level 5
50900300316,"Srimath Anagarika Dharmapala Vidyalaya, Aragoda",Level 5
50900300317,"Buwanekaba Vidyalaya, Polgahawela",Level 5
50900300318,"Sri Sumanasara Vidyalaya, Kadurugahamadiththa",Level 5
50900300319,Kalideliya Kanishta Vidyalaya,Level 5
50900300320,"Genaral Denzil Kobbekaduwa Primary School, Kiralabokka",Level 5
50900300321,"Sri Deerananda Vidyalaya, Thalawaththegedara",Level 5
50900300322,Kumbaloluwa Junior School,Level 5
50900300323,Gammana Primary School,Level 5
50900300324,"Sapumal Kumara Vidyalaya, Polgahawela",Level 5
50900300325,"Wayamba Dharmaraja Vidyaraja Vidyalaya, Weerambugedara",Level 5
50900300326,"Wayamba Vidyaraja Vidyalaya, Pothuhera",Level 5
50900300327,Polpitiya Kanishta Vidyalaya,Level 5
50900300328,Mawaththa Kanishta Vidyalaya,Level 5
50900300329,Welamitiyawa Siri Gunarathna Kanishta Vidyalaya,Level 5
50900300330,"Rathnaloka Vidyalaya, Polgahawela",Level 5
50900300331,Polgahawela St. Bernadette's Model School,Level 5
50900300332,"Vidyaloka Vidyalaya, Sandagala",Level 5
50900300333,"Vidarshana Primary School, Hondella",Level 5
50900300334,Arambepola Primary School,Level 5
50900300335,"Al-Irfan Central College, Polgahawela",Level 5
50900300336,"Al-Aqsa Maha Vidyalaya, Oruliyadda",Level 5
50900300337,"Church of ceylon Tamil Vidyalaya, Polgahawela",Level 5
50900300338,Pothuhera Muslim Vidyalaya,Level 5
50900300339,Udapola Tamil Vidyalaya,Level 5
50900300340,"Kithsirimewan Primary School, Wadakada",Level 5
50900300400,Teacher center - Malkaduwawa,Level 4
50900400000,Zonal Education Office - Maho,Level 3
50900400100,Divisional Education Office - Maho,Level 4
50900400101,Maho Vijayaba National School.,Level 5
50900400102,Ambanpola Madya Maha Vidyalaya,Level 5
50900400103,Balalla U.B. Wanninayaka Maha Vidyalaya,Level 5
50900400104,Nagollagama Maha Vidyalaya,Level 5
50900400105,Yapahuwa Maha Vidyalaya,Level 5
50900400106,Pahalagama Maha Vidyalaya,Level 5
50900400107,Walaliya Maha Vidyalaya,Level 5
50900400108,Karambe Maha Vidyalaya,Level 5
50900400109,Thumbullegama Maha Vidyalaya,Level 5
50900400110,Thammitagama Maha Vidyalaya,Level 5
50900400111,Yapaw Royal College,Level 5
50900400112,Abakolawewa Prathamika Vidyalaya,Level 5
50900400113,Bakmeegahawaththa Kanishta Vidyalaya,Level 5
50900400114,Bakmeewewa Kanishta Vidyalaya,Level 5
50900400115,Bamunugama Kanishta Vidyalaya,Level 5
50900400116,Borawewa Kanishta Vidyalaya,Level 5
50900400117,Ellabadagama Prathamika Vidyalaya,Level 5
50900400118,Embogama Kanishta Vidyalaya,Level 5
50900400119,Gajaneggama Maha Vidyalaya,Level 5
50900400120,Hithokadawala Kanishta Vidyalaya,Level 5
50900400121,Heenuggala Kanishta Vidyalaya,Level 5
50900400122,Ipalogama Kanishta Vidyalaya,Level 5
50900400123,Kandubadagama Prathamika Vidyalaya,Level 5
50900400124,Kasikote Kanishta Vidyalaya,Level 5
50900400125,Kaththapahuwa Kanishta Vidyalaya,Level 5
50900400126,"S. Mahinda Prathamika Vidyalaya, Kivullewa",Level 5
50900400127,Koonwewa Maha Vidyalaya,Level 5
50900400128,Moragolla Kanishta Vidyalaya,Level 5
50900400129,Udadivulwewa Maha Vidyalaya,Level 5
50900400130,Rolawa Prathamika Vidyalaya,Level 5
50900400131,Uduweeriya Kanishta Vidyalaya,Level 5
50900400132,Weragala Sri Rahula Prathamika Vidyalaya,Level 5
50900400133,Embalegoda Maha Vidyalaya,Level 5
50900400134,Ambanpola Model Prathamika Vidyalaya,Level 5
50900400135,Embulgiriya Prathamika Vidyalaya,Level 5
50900400136,Moragaswewa Prathamika Vidyalaya,Level 5
50900400137,Naramanakotuwa Prathamika Vidyalaya,Level 5
50900400138,Nelumpathwewa Prathamika Vidyalaya,Level 5
50900400139,Panwewa Prathamika Vidyalaya,Level 5
50900400140,"Sri Henry Olcott Model Prathamika Vidyalaya, Palapathwala",Level 5
50900400141,"Thisnampalagama, Kanishta Vidyalaya",Level 5
50900400142,Maho Gunapala Malalasekara Model Kanishta Vidyalaya,Level 5
50900400143,Udagama Prathamika Vidyalaya,Level 5
50900400144,Dehenaggama Kanishta Vidyalaya,Level 5
50900400145,Wegedaragama Kanishta Vidyalaya,Level 5
50900400146,Daladagama Prathamika Vidyalaya,Level 5
50900400147,Randenigama Muslim Kanishta Vidyalaya,Level 5
50900400148,Madapokuna Mahira Muslim Kanishta Vidyalaya,Level 5
50900400149,"Al-Madeena Muslim Maha Vidyalaya, Maho",Level 5
50900400150,"Hijra Muslim Kanishta Vidyalaya, Ambanpola",Level 5
50900400151,Polpithigama Buwanekaba Prathamika Vidyalaya,Level 5
50900400152,Kaluwilapothana Prathamika Vidyalaya,Level 5
50900400153,"Sri Medhankara Prathamika Vidyalaya, Yapahuwa",Level 5
50900400154,"Sri Dhammananda Prathamika Vidyalaya, Nagollagama",Level 5
50900400200,Divisional Education Office - Polpithigama,Level 4
50900400201,Polpithigama National School,Level 5
50900400202,Madahapola Mahinda Maha Vidyalaya,Level 5
50900400203,Makulpotha Maha Vidyalaya,Level 5
50900400204,Maeliya Maha Vidyalaya,Level 5
50900400205,Ambagaswewa Maha Vidyalaya,Level 5
50900400206,Maeliya Balagolla Kanishta Vidyalaya,Level 5
50900400207,"T.B.Wijesooriya Kanishta Vidyalaya, Dorawerawa",Level 5
50900400208,Galketiyagama Kanishta Vidyalaya,Level 5
50900400209,Pansiyagama Maha Vidyalaya,Level 5
50900400210,Hathigamuwa Primary School,Level 5
50900400211,"Mahanama Maha Vidyalaya, Koruwawa",Level 5
50900400212,Madahapola Kanda Kanishta Vidyalaya,Level 5
50900400213,Niyadawanaya Kanishta Vidyalaya,Level 5
50900400214,Nakwaththagama Kanishta Vidyalaya,Level 5
50900400215,Ponnilawa Maha Vidyalaya,Level 5
50900400216,Rekewala Kanishta Vidyalaya,Level 5
50900400217,Thalpathwewa Kanishta Vidyalaya,Level 5
50900400218,Thalakolawewa Maha Vidyalaya,Level 5
50900400219,Dagama Prathamika Vidyalaya,Level 5
50900400220,Deegama Prathamika Vidyalaya,Level 5
50900400221,Galtemwewa Prathamika Vidyalaya,Level 5
50900400222,Hakwatunaoya Prathamika Vidyalaya,Level 5
50900400223,Imihaminegama Prathamika Vidyalaya,Level 5
50900400224,Madithiyagolla Kanishta Vidyalaya,Level 5
50900400225,Nikawehera Prathamika Vidyalaya,Level 5
50900400226,Palagama Kanishta Vidyalaya,Level 5
50900400227,Thelabiyawa Prathamika Vidyalaya,Level 5
50900400228,Weheragala Prathamika Vidyalaya,Level 5
50900400229,Kalugalla Kanishta Vidyalaya,Level 5
50900400230,Pallakale Kanishta Vidyalaya,Level 5
50900400231,Halmillagolla Kanishta Vidyalaya,Level 5
50900400232,Potuwepitiya Prathamika Vidyalaya,Level 5
50900400233,Pothuvila Siri Parakum Maha Vidyalaya,Level 5
50900400234,Nikawewa Dewanampiyathissa Maha Vidyalaya,Level 5
50900400235,Borawewa Maha Vidyalaya,Level 5
50900400236,Kadawala Kanishta Vidyalaya,Level 5
50900400237,Mapegamuwa Maha Vidyalaya,Level 5
50900400238,Siyambalangamuwa Kanishta Vidyalaya,Level 5
50900400239,Kumbukkadawala Kanishta Vidyalaya,Level 5
50900400240,Thennakoongama Kanishta Vidyalaya,Level 5
50900400241,Ganekanda Prathamika Vidyalaya,Level 5
50900400242,Thalawa Prathamika Vidyalaya,Level 5
50900400243,Tharanagollagama Kanishta Vidyalaya,Level 5
50900400244,Wambatuwewa Prathamika Vidyalaya,Level 5
50900400245,Herathgama Prathamika Vidyalaya,Level 5
50900400246,Pohorawaththa Sri Siddhartha Prathamika Vidyalaya,Level 5
50900400247,Rambawewa Buwanekaba Prathamika Vidyalaya,Level 5
50900400248,Rekeula Prathamika Vidyalaya,Level 5
50900400249,Bambaragalayaya Kanishta Vidyalaya,Level 5
50900400250,"Walagamba Prathamika Vidyalaya, Kattamberiya",Level 5
50900400251,Koruwawa Prathamika Vidyalaya,Level 5
50900400252,Polpithigama Rajasinghe Prathamika Vidyalaya,Level 5
50900400253,Nikawewa Saliyakumara Model Prathamika Vidyalaya,Level 5
50900400300,Divisional Education Office - Galgamuwa,Level 4
50900400301,Galgamuwa U. B. Wanninaya National College,Level 5
50900400302,Ehetuwewa Bandarnayaka Maha Vidyalaya,Level 5
50900400303,"Sri Siddartha Maha Vidyalaya, Kudakathnoruwa",Level 5
50900400304,Usgala Thissa Maha Vidyalaya,Level 5
50900400305,Buduruwakanda Maha Vidyalaya,Level 5
50900400306,Usgala Gemunu Maha Vidyalaya,Level 5
50900400307,Mahananneriya Maha Vidyalaya,Level 5
50900400308,Meegalewa Mahweli National School,Level 5
50900400309,Atharagalla Kanishta Vidyalaya,Level 5
50900400310,Ihala Nanneriya Kanishta Vidyalaya,Level 5
50900400311,Kallanchiya Prathamika Vidyalaya,Level 5
50900400312,Galpitiya Kanishta Vidyalaya,Level 5
50900400313,Dimbulagala Vidyalaya,Level 5
50900400314,Dewagiripura Walagamba Maha Vidyalaya,Level 5
50900400315,Nithalawa Kanishta Vidyalaya,Level 5
50900400316,Paluwa Vidyadeepa Vidyalaya,Level 5
50900400317,Bulnewa Vidyalaya,Level 5
50900400318,Maha Embogama Model Kanishta Vidyalaya,Level 5
50900400319,Mahathorawa Kanishta Vidyalaya,Level 5
50900400320,Madadobe Prathamika Vidyalaya,Level 5
50900400321,Usgala Saliyaraja Kanishta Vidyalaya,Level 5
50900400322,Hunugallewa Kanishta Vidyalaya,Level 5
50900400323,Palukadawala Sri Sumana Vidyalaya,Level 5
50900400324,Eriyawa Primary School,Level 5
50900400325,Makalanegama Vidyalaya,Level 5
50900400326,Mahagalkadawala Mahasen Vidyalaya,Level 5
50900400327,Medinnoruwa Kanishta Vidyalaya,Level 5
50900400328,Jayabima Siri Sudassi Prathamika Vidyalaya,Level 5
50900400329,Peddogama Kanishta Widuhala,Level 5
50900400330,Vikadenigama Kanishta Vidyalaya,Level 5
50900400331,Ehetuwewa Model Primary School,Level 5
50900400332,Ihalagama Kanishta Vidyalaya,Level 5
50900400333,Ihala Konwewa Primary School,Level 5
50900400334,Kaduruwewa Prathamika Vidyalaya,Level 5
50900400335,Nakolagane Kanishta Vidyalaya,Level 5
50900400336,Nahettikulama Primary School,Level 5
50900400337,Pothanegama Primary School,Level 5
50900400338,"Wayamba Janadhipathi Vidyalaya, Palukandewa",Level 5
50900400339,Manakkuliyagama Primary School,Level 5
50900400340,Wanniamunukole Prathamika Vidyalaya,Level 5
50900400341,Siyambaleewa Prathamika Vidyalaya,Level 5
50900400342,Meegalewa Primary School,Level 5
50900400343,Wanekolaniaya Primary School,Level 5
50900400344,Galapitagigana Prathamika Vidyalaya,Level 5
50900400345,Mahawelithenna Primary School,Level 5
50900400346,Bongamuwa Prathamika Vidyalaya,Level 5
50900400347,Ganangamuwa Primary School,Level 5
50900400348,Galgamuwa Model Muslim Maha Vidyalaya,Level 5
50900400349,Galgamuwa Roman Catholic Tamil Vidyalaya,Level 5
50900400350,Gallewa Muslim Vidyalaya,Level 5
50900400351,Jagama Al Hakim Muslim Vidalaya,Level 5
50900400352,Kattakaduwa Muslim Vidyalaya,Level 5
50900400353,Karambewa Almina Maha Vidyalaya,Level 5
50900400354,Angamugama Muslim Kanishta Vidyalaya,Level 5
50900400355,Banadaragama Primary School,Level 5
50900400356,"Sirimawo Bandaranayake Primary School, Galgamuwa",Level 5
50900400357,Mahananneriya Primary School,Level 5
50900400400,Divisional Education Office - Giribawa,Level 4
50900400401,Pahala Giribawa Maha Vidyalaya,Level 5
50900400402,"Sole Maha Vidyalaya, Solewewa",Level 5
50900400403,Perakumpura National School,Level 5
50900400404,Mailewa Maha Vidyalaya,Level 5
50900400405,Thambuththa Maha Vidyalaya,Level 5
50900400406,Wannikudawewa Sirisagabo Maha Vidyalaya,Level 5
50900400407,Warawewa Maha Vidyalaya,Level 5
50900400408,"Saliya Asoka Nawodyya School, Saliya Asokapura",Level 5
50900400409,Rajanganaya Yaya 6 Vidyalaya,Level 5
50900400410,Rajanganaya Yaya 4/2 Prathamika Vidyalaya,Level 5
50900400411,Ihalamaradankadawala Prathamika Vidyalaya,Level 5
50900400412,"Gampola Kanishta Vidyalaya, Pahala Giribawa",Level 5
50900400413,Thammennawa Kanishta Vidyalaya,Level 5
50900400414,Jayanthipura Kanishta Vidyalaya,Level 5
50900400415,Pothanegama Vijaya Kanishta Vidyalaya,Level 5
50900400416,Hettiarachchigama Prathamika Vidyalaya,Level 5
50900400417,Dharmashoka Kanishta Vidyalaya Dhamsopura,Level 5
50900400418,Aliyawetunuwewa Muslim Maha Vidyalaya,Level 5
50900400419,Wannikudawewa Muslim Kanishta Vidyalaya,Level 5
50900400420,Walpaluwa Muslim Maha Vidyalaya,Level 5
50900400421,Bambare Prathamika Vidyalaya,Level 5
50900400422,Gurulupitigama Prathamika Vidyalaya,Level 5
50900400423,"Siddhartha Prathamika Vidyalaya, Kokmaduwa",Level 5
50900400424,Pahala Giribawa Prathamika Vidyalaya,Level 5
50900500000,Zonal Education Office - Nikaweratiya,Level 3
50900500100,Divisional Education Office - Nikaweratiya,Level 4
50900500101,Nikaweratiya Muslim Madya Maha Vidyalaya,Level 5
50900500102,Nikaweratiya Mahasen National School.,Level 5
50900500103,Thumbulla Maha Vidyalaya,Level 5
50900500104,Divullegoda Maha Vidyalaya,Level 5
50900500105,Heelogama Maha Vidyalaya,Level 5
50900500106,"Kavisena Herath Maha Vidyalaya, Hulugalla",Level 5
50900500107,Hulogedara Maha Vidyalaya,Level 5
50900500108,Ihalagama Kanishta Vidyalaya,Level 5
50900500109,Othota Radenigama Kanishta Vidyalaya,Level 5
50900500110,Kebellewa Kanishta Vidyalaya,Level 5
50900500111,Kumbukwewa Kanishta Vidyalaya,Level 5
50900500112,Galagedara Kanishta Vidyalaya,Level 5
50900500113,Thimbiriyawa Kanishta Vidyalaya,Level 5
50900500114,Danduwawa Maha Vidyalaya,Level 5
50900500115,"Sri Dhamarakkhitha Model Vidyalaya, Dalukgolla",Level 5
50900500116,"Prince College, Hulogedara",Level 5
50900500117,"D.S.Senanayaka Primary School, Millagoda",Level 5
50900500118,Wanduressa Sri Buddarakkitha Vidyalaya,Level 5
50900500119,Wanni Kirindigalla Prathamika Vidyalaya,Level 5
50900500120,Halmilewa Kanishta Vidyalaya,Level 5
50900500121,Udahenegama Primary School,Level 5
50900500122,Nikaweratiya Jayanthi Central College,Level 5
50900500123,Rambapokuna Prathamika Vidyalaya,Level 5
50900500124,"Wayamba President's College, Hewenpelessa",Level 5
50900500125,"Rajabima Vidyalaya, Magallegama",Level 5
50900500126,Othota Divullewa Primary School,Level 5
50900500127,Sudeeragama Primary School,Level 5
50900500128,Neeraliyadda Kanishta Vidyalaya,Level 5
50900500129,Nammuwawa Muslim Maha Vidyalaya,Level 5
50900500130,Katagamuwa Primary School,Level 5
50900500131,Manapaya Prathamika Vidyalaya,Level 5
50900500132,Wasiwewa Primary School,Level 5
50900500200,Divisional Education Office - Kotawehera,Level 4
50900500201,Kadigawa Maha Vidyalaya,Level 5
50900500202,Girilla Madya Maha Vidyalaya,Level 5
50900500203,Digannewa Sri Devamiththha Maha Vidyalaya,Level 5
50900500204,"H.M. Rasnayaka Madya Maha Vidyalaya, Rasnayakapura",Level 5
50900500205,Meewellawa Maha Vidyalaya,Level 5
50900500206,Monnekulama Maha Vidyalaya,Level 5
50900500207,Halambagala Maha Vidyalaya,Level 5
50900500208,"Aluthgama Kanishta Vidyalaya, Digannewa",Level 5
50900500209,Udunowa Kanishta Vidyalaya,Level 5
50900500210,Unagolla Kanishta Vidyalaya,Level 5
50900500211,Kelegama Kanishta Vidyalaya,Level 5
50900500212,"Kirinda Kanishta Vidyalaya, Mahagirilla",Level 5
50900500213,Kudaravaliya Kanishta Vidyalaya,Level 5
50900500214,Galkadawala Kanishta Vidyalaya,Level 5
50900500215,Divullapitiya Prathamika Vidyalaya,Level 5
50900500216,Nawana Maha Vidyalaya,Level 5
50900500217,Nelumgala Prathamika Vidyalaya,Level 5
50900500218,Palugolla Yaya 10 Maha Vidyalaya,Level 5
50900500219,Mahamithawa Kanishta Vidyalaya,Level 5
50900500220,Halabe Kanishta Vidyalaya,Level 5
50900500221,Ithewa Kanishta Vidyalaya,Level 5
50900500222,Unale Prathamika Vidyalaya,Level 5
50900500223,Ottukulam Hijra Muslim Maha Vidyalaya,Level 5
50900500224,Kuravikulama Prathamika Vidyalaya,Level 5
50900500225,Theiyadaluwa Prathamika Vidyalaya,Level 5
50900500226,"Nagansole Prathamika Vidyalaya, Rasnayakapura",Level 5
50900500227,East Thimbiriyawa Kanishta Vidyalaya,Level 5
50900500228,Magurankadawala Prathamika Vidyalaya,Level 5
50900500229,Ihala Ottukulama Kanishta Vidyalaya,Level 5
50900500230,Elagammillawa Kanishta Vidyalaya,Level 5
50900500231,Keenawa Prathamika Vidyalaya,Level 5
50900500232,Sirisethagama Prathamika Vidyalaya,Level 5
50900500233,Siyambalewa Sri Sobhitha Prathamika Vidyalaya,Level 5
50900500234,Gallegoda Prathamika Vidyalaya,Level 5
50900500235,East Moragollagama Prathamika Vidyalaya,Level 5
50900500236,"U.B. Wanninayaka Madya Maha Vidyalaya, Kotawehera",Level 5
50900500237,Abukkagama Muslim Maha Vidyalaya,Level 5
50900500238,Galpanawa Muslim Kanishta Vidyalaya,Level 5
50900500239,Kollandaluwa Muslim Kanishta Vidyalaya,Level 5
50900500240,Ambagaswewa Prathamika Vidyalaya,Level 5
50900500241,Kudamithawa Prathamika Vidyalaya,Level 5
50900500242,Digannewa Prathamika Vidyalaya,Level 5
50900500200,Divisional Education Office - Kobeigane,Level 4
50900500201,Kobeigane Sri Parackrama National School,Level 5
50900500202,"I.M.R.A.Iriyagolla Central College, Boraluwewa",Level 5
50900500203,"Siri Sumanasiri Maha Vidyalaya, Siyabalagahawetiya",Level 5
50900500204,Vithikuliya Maha Vidyalaya,Level 5
50900500205,Alahenegama Maha Vidyalaya,Level 5
50900500206,Ihalagama Gamunu Vidyalaya,Level 5
50900500207,"Siri Perakum Prathamika Vidyalaya, Kosgahawewa",Level 5
50900500208,Thelahera Maha Vidyalaya,Level 5
50900500209,Pannawa Sinhala Prathamika Vidyalaya,Level 5
50900500210,Pahala Baladora Prathamika Vidyalaya,Level 5
50900500211,Pubbiliya Kanishta Vidyalaya,Level 5
50900500212,Mellagaswewa Prathamika Vidyalaya,Level 5
50900500213,Midellaea Wimalasheela Maha Vidyalaya,Level 5
50900500214,Halmillakotuwa Kanishta Vidyalaya,Level 5
50900500215,Hengamuwa Maha Vidyalaya,Level 5
50900500216,Assedduma Prathamika Vidyalaya,Level 5
50900500217,Getadiwulwewa Prathamika Vidyalaya,Level 5
50900500218,Bamunugama Maha Vidyalaya,Level 5
50900500219,Leekolaweea Primary School,Level 5
50900500220,Lolanwewa Sinhala Prathamika Vidyalaya,Level 5
50900500221,Hathalawa Kanishta Vidyalaya,Level 5
50900500222,Pannawa Muslim Maha Vidyalaya,Level 5
50900500223,"Al -Ilmiya Maha Vidyalaya, Boraluwewa",Level 5
50900500224,"Assiraj Muslim Prathamika Vidyalaya, Kobeigane",Level 5
50900500225,Ambalayagama Primary School,Level 5
50900500226,Samagigama Prathamika Vidyalaya,Level 5
50900500300,Divisional Education Office - Wariyapola,Level 4
50900500301,Ithanawaththa Maha Vidyalaya,Level 5
50900500302,"Thissa Madya Maha Vidyalaya, Katupotha",Level 5
50900500303,Bamunakotuwa Isipathana Madya Maha Vidyalaya,Level 5
50900500304,Wariyapola Sri Sumangala Madya Maha Vidyalaya,Level 5
50900500305,Amunugama Kanishta Vidyalaya,Level 5
50900500306,Kanotuwa Kanishta Vidyalaya,Level 5
50900500307,Kedapathwehera Kanishta Vidyalaya,Level 5
50900500308,Kongolla Kanishta Vidyalaya,Level 5
50900500309,Ganthiriyawa Maha Vidyalaya,Level 5
50900500310,Goluwawa Kanishta Vidyalaya,Level 5
50900500311,Thabilipola Kanishta Vidyalaya,Level 5
50900500312,Demataluwa Maha Vidyalaya,Level 5
50900500313,Nathagane Kanishta Vidyalaya,Level 5
50900500314,Nawinna Kanishta Vidyalaya,Level 5
50900500315,"Mahindodaya Prathamika Vidyalaya, Panadare",Level 5
50900500316,Mahakeliya Maha Vidyalaya,Level 5
50900500317,Rathmale Sri Rewatha Kanishta Vidyalaya,Level 5
50900500318,Walpola Kanishta Vidyalaya,Level 5
50900500319,Wariyapola Sri Ganodaya Madya Maha Vidyalaya,Level 5
50900500320,"Sri Sarananda Kanishta Vidyalaya, Wallagala",Level 5
50900500321,"Sri Sumangala Prathamika Vidyalaya, Horombuwa",Level 5
50900500322,Katupotha Prathamika Vidyalaya,Level 5
50900500323,Kithulwahara Kanishta Vidyalaya,Level 5
50900500324,Thalgamuwa Prathamika Vidyalaya,Level 5
50900500325,Malasna Dewaraja Prathamika Vidyalaya,Level 5
50900500326,Malwana Prathamika Vidyalaya,Level 5
50900500327,Abakadawara Maha Vidyalaya,Level 5
50900500328,Awlegama Sangabodhi Madya Maha Vidyalaya,Level 5
50900500329,Minuwangate Maha Vidyalaya,Level 5
50900500330,Karagaswewa Kanishta Vidyalaya,Level 5
50900500331,Kurunawa Kanishta Vidyalaya,Level 5
50900500332,Naramana Walagamba Maha Vidyalaya,Level 5
50900500333,Nabadawewa Prathamika Vidyalaya,Level 5
50900500334,"Sri Sunanda Maha Vidyalaya, Padeniya",Level 5
50900500335,Bayawa Kanishta Vidyalaya,Level 5
50900500336,Malagane Maha Vidyalaya,Level 5
50900500337,Rambukana Prathamika Vidyalaya,Level 5
50900500338,Wepaththange Prathamika Vidyalaya,Level 5
50900500339,Halthennakoongama Maha Vidyalaya,Level 5
50900500340,Ethawa Prathamika Vidyalaya,Level 5
50900500341,Katagamuwa Prathamika Vidyalaya,Level 5
50900500342,Thabarawa Prathamika Vidyalaya,Level 5
50900500343,Netiya Kanishta Vidyalaya,Level 5
50900500344,Bogoda Prathamika Vidyalaya,Level 5
50900500345,Mirihanegama Maha Vidyalaya,Level 5
50900500346,Sundaragama Prathamika Vidyalaya,Level 5
50900500347,Herathgama Prathamika Vidyalaya,Level 5
50900500348,Walpaluwa Prathamika Vidyalaya,Level 5
50900500349,Konoththa Prathamika Vidyalaya,Level 5
50900500350,Dabaliyadda Prathamika Vidyalaya,Level 5
50900500351,Henegedara Muslim Kanishta Vidyalaya,Level 5
50900500352,Mirihampitiya Muslim Kanishta Vidyalaya,Level 5
50900500353,"Babul Adam Muslim Kanishta Vidyalaya, Mallapoththa",Level 5
50900500354,Minuwangete Prathamika Vidyalaya,Level 5
50900500400,Teacher Center - Nikaweratiya,Level 4
50900600000,Zonal Education Office - Ibbagamuwa,Level 3
50900600100,Divisional Education Office - Ibbagamuwa,Level 4
50900600101,Ibbagamuwa Central College,Level 5
50900600102,Gokeralla Sir Wiliyam Gopallawa Madya Maha Vidyalaya,Level 5
50900600103,Kumbukwewa Maha Vidyalaya,Level 5
50900600104,"Thakshala Maha Vidyalaya, Mahamukalanyaya",Level 5
50900600105,Medamulla De Mel Maha Vidyalaya,Level 5
50900600106,Ibbagamuwa Model School,Level 5
50900600107,Omaragolla Maha Vidyalaya,Level 5
50900600108,Kiribamuna Prathamika Vidyalaya,Level 5
50900600109,Gassandalupotha Vidyalaya,Level 5
50900600110,Melsiripura Namal Anga Maha Vidyalaya,Level 5
50900600111,Diddeniya Vidyalaya,Level 5
50900600112,Akkarapanaha Kanishta Vidyalaya,Level 5
50900600113,"Wayamba President's College, Ibbagamuwa",Level 5
50900600114,Udakendawala Siri Saranankara Vidyalaya,Level 5
50900600115,Ussawa Prathamika Vidyalaya,Level 5
50900600116,Kiridigalla Prathamika Vidyalaya,Level 5
50900600117,"Siddartha Vidyalaya, Ibbagamuwa",Level 5
50900600118,Thalangamuwa Kanishta Vidyalaya,Level 5
50900600119,"Nabeta Vidyalaya, Melsiripura",Level 5
50900600120,"Nelawa Vidyalaya, Ibbagamuwa",Level 5
50900600121,Nembilikumbura Prathamika Vidyalaya,Level 5
50900600122,"C.W.W.Kannangara Prathamika Vidyalaya, Nindapalla",Level 5
50900600123,Neerammula Jayanthi Prathamika Vidyalaya,Level 5
50900600124,"Weera Coloneal Niyomal Palipana Vidyalaya, Ibbagamuwa",Level 5
50900600125,Lenawav Prathamika Vidyalaya,Level 5
50900600126,Hangamuwa Prathamika Vidyalaya,Level 5
50900600127,"Sri Wimalasara Prathamika Vidyalaya, Udathammita",Level 5
50900600128,"Weera Parakum Vidyalaya, Pallekendawala",Level 5
50900600129,Godarathmale Vidyartha Prathamika vidyalaya,Level 5
50900600130,Sarubima Supipi Vidyalaya,Level 5
50900600131,Welgala Kanishta Vidyalaya,Level 5
50900600132,Hipawwa Detuthis Kanishta Vidyalaya,Level 5
50900600133,"Unit 3 Mahasen Vidyalaya, Nelliya",Level 5
50900600134,Manapaya Prathamika Vidyalaya,Level 5
50900600135,Rankirimada Kanishta Vidyalaya,Level 5
50900600136,Wewalagama Kanishta Vidyalaya,Level 5
50900600137,"Al Mina Muslim Vidyalaya, Ibbagamuwa",Level 5
50900600138,"Hameediya Muslim Maha Vidyalaya, Ibbagamuwa",Level 5
50900600139,Maiwela Muslim Vidyalaya,Level 5
50900600140,"Madige Muslim Vidyalaya, Ibbagamuwa",Level 5
50900600200,Divisional Education Office - Rideegama,Level 4
50900600201,Rambadagalla Madya Maha Vidyalaya,Level 5
50900600202,Morathiha Sri Gamini Madya Maha Vidyalaya,Level 5
50900600203,Gonigoda Madya Maha Vidyalaya,Level 5
50900600204,Dodamgaslanda Sir John Kothalawala Madya Maha Vidyalaya,Level 5
50900600205,"Sri Vidyaraja Maha Vidyalaya, Palleyaya",Level 5
50900600206,"Prathirajadewa Maha Vidyalaya, Pussella",Level 5
50900600207,Buluwala Maha Vidyalaya,Level 5
50900600208,Koswaththa Maha Vidyalaya,Level 5
50900600209,"Weerawalagamba Maha Vidyalaya, Maduragoda",Level 5
50900600210,"Nalandawa Prathamika Vidyalaya, Dodamgaslanda",Level 5
50900600211,Ambakote Prathamika Vidyalaya,Level 5
50900600212,Ikiriwatha Prathamika Vidyalaya,Level 5
50900600213,Iriyagolla Maha Vidyalaya,Level 5
50900600214,Egodamulla Prathamika Vidyalaya,Level 5
50900600215,Katiyawa Prathamika Vidyalaya,Level 5
50900600216,Kandupalatha Kanishta Vidyalaya,Level 5
50900600217,Delvita Maha Vidyalaya,Level 5
50900600218,Niyangama Prathamika Vidyalaya,Level 5
50900600219,Pahala Ogodapola Kanishta Vidyalaya,Level 5
50900600220,Medagama Kanishta Vidyalaya,Level 5
50900600221,"Mirissal Kanishta Vidyalaya, Pihimbuwa",Level 5
50900600222,Morathiha Vidyalaya,Level 5
50900600223,Rathvita Prathamika Vidyalaya,Level 5
50900600224,Rantheti Kamda Prathamika Vidyalaya,Level 5
